No,Provert
356,နောက်အိပ်က အလျင်ပျော်
357,နောင်ခါလာ နောင်ခါဈေး
358,နည်းနည်းနှင့် ကျဲကျဲဝိုင်း
359,နည်းရောင်းများရောင်း တောင်းပြည့်
360,နည်းအမျှ၊ များအဝ
361,နတ်ကရာ ကျီးမော
362,နတ်တို့ဖန် ရေကန်အသင့် ကြာအသင့်
363,နတ်သုဓာထဲ မစင်တစ်ပဲသားကျ
364,နွားကလေးနို့ နွားမကြီးစို့
365,နွားကြော့ဆိုလေ ချုံတိုးလေ
366,နွားကွဲ ကျားကိုက်
367,နွားခလောက်မြည်ပေမဲ့ နှမ်းမရ
368,နွားချေးပုံ ကြာပေါက်
369,နွားငတ် ရေကျ
370,နွားတစ်ဖက်ကောင်းသော်လည်း ချောင်းမတက်နိုင်
371,နွားထီးငါးကျပ်၊ နွားမငါးကျပ်
372,နွားပေါ့ အစွံထုတ်
373,နွားပိန်ထူ လူဝှေ့
374,နွားပိန် အသားထိုး ကြည့်
375,နွားပျိုသန်လှ နွားအိုပေါင်ကျိုး
376,နွားမ ရွှံ့ပိတ်ရောင်း
377,နွားရှေ့ ထွန်ကျူး
378,နွားသိုး ကြိုးပြတ်
379,နွားအို မြက်နုကြိုက်
380,နှာခေါင်း ကျည်ပွေ့တွေ့
381,နှံပြည်စုတ် အမြောက်နှင့် ချိန်
382,နှုတ်ခမ်းပဲ့ချင်း မီးမှုတ်
383,နှုတ်ခမ်းမွေးမနိုင်ဘဲ ပဲကြီးဟင်းသောက်ချင်
384,နှမ်းတစ်လုံးနှင့် ဆီမဖြစ်
385,ပဒိုင်းသီးလို ဆုပ်စူးစားရူး
386,ပါးကိုက် နားကိုက်
387,ပါးစပ်က ဘုရားဘုရား၊ လက်က ကားရားကားရား
388,ပါးစပ်ဟ အူမ မြင်
389,ပါးပုတ်၍ လက်ဝှက်သည်
390,ပါးပိန်ရာ နံ့သာ ဖို့မရ
